UnitID,Institution,OPEID8,Institution2,Street_address,City,ZIP,website,Mission_statement, Mission statement URL,blank
485926,GA Beauty & Barber School,04275600  ,GA Beauty & Barber School,3301 North Ware Road Suite A-C,McAllen,78501-3309,www.ganailsbeauty.com/,Here at GA Beauty school our missions is to through quality The mission of GA Nails Beauty School is to seek a high level of perfection and distinction in its faculty  students  and educational programs. Only through high quality education we will be able to provide graduates of all courses who will not only be successful  but will be of service to their community. The course of study and the activities are directed to provide a solid foundation for our graduates in many opportunities available in the beauty industry. Our Mission establishes our shared accountability with our students for completion  licensure and placement in a desirable job and we strive for superior performance in each. GA Nails Beauty School prepares committed students for rewarding careers in the beauty industry.,,
406033,Galen College of Nursing-San Antonio,03083701  ,Galen College of Nursing-San Antonio,7411 John Smith Drive  Suite 300,San Antonio,78229,www.galencollege.edu/sanantonio/,Galen College of Nursing  driven by a culture dedicated to expanding access to nursing education  prepares diverse learners to demonstrate excellence and compassion in nursing through an educational approach immersed in innovation  technology  and student support.,,
497116,Galen Health Institutes-Austin Campus,03083706  ,Galen Health Institutes-Austin Campus,1201 W. Louis Henna Boulevard,Austin,78781-2301,https://galencollege.edu/campuses/austin,,galencollege.edu/about-galen/vision-values-mission,
224961,Galveston College,00497200  ,Galveston College,4015 Ave Q,Galveston,77550-7496,www.gc.edu/,,https://www.gc.edu/about-gc/presidents-office/mission-vision/,
480912,Gemini School of Visual Arts & Communication,04219700  ,Gemini School of Visual Arts & Communication,12325 Hymeadow Drive  Suite 3-100,Austin,78750-1861,geminischool.com/,OUR MISSION  The school's mission  "turning talent into profession" is realized through a rigorous  integrated art and technology training program where students master traditional drawing and painting and then learn to apply those skills to cutting edge design software in our state of the art Digital Media Lab.  For a young artist in today's commercial market  the ability to combine strong traditional skills with strong design software knowledge is critical to obtaining employment with the top creative firms in the advertising  videogame  publishing  entertainment  technology and fine art industries.  Our graduates leave Gemini School as savvy professionals ready to succeed in any environment.     OUR PHILOSOPY  At Gemini School  we are dedicated to the education of professional artists.  From first year students to working concept artists  illustrators and designers  our programs are designed to provide professional-level instruction in art.  Our overall guiding philosophy is "giving back."  We believe that as professional artists  it is our responsibility to share our technical and artistic knowledge and experiences with future colleagues to ensure the advancement of our craft.  And  as working artists and educators  we believe in the tenants of artistic freedom  integrity and professional ethics- and expect the same from our students.,,
481401,Grace School of Theology,04215400  ,Grace School of Theology,3705 College Park Dr Ste 140,Conroe,77384-4894,www.gsot.edu/,Grace School of Theology is an evangelical Christian institution of higher learning and has as its purpose the offering of programs of study in an environment where academic excellence is emphasized and a biblical based perspective is maintained. Grace is committed to enriching its students spiritually  intellectually  and professionally  and to preparing students to serve God in a global and culturally diverse society.,,
225070,Grayson College,00357000  ,Grayson College,6101 Grayson Drive,Denison,75020-8299,grayson.edu/,The mission of Grayson College is student success.,,
225201,Hallmark University,01050900  ,Hallmark University,10401 IH 10 W,San Antonio,78230-1736,https://www.hallmarkuniversity.edu/,,hallmarkuniversity.edu/about/legacy/#panel1v,
455327,Hands on Therapy,03970300  ,Hands on Therapy,1804 N Galloway Ave,Mesquite,75149,www.handsontherapyschools.com/,Philosophy The Hands On Therapy Family believes in developing the technical and artistic aspects of Massage Ther-apy and Esthetic Care practices as well as the Holistic Arts and Sciences.  We expose students to a wide array of philosophies and styles with our multi-instructor approach and encourage students to learn the best of all techniques.  Each student is then encouraged to develop their own unique brand of service.  Our curriculum is based on a personal “hands on” approach whereby students actively participate in the development of their education by giving and receiving treatments and services throughout the entire classroom experience. We gauge our success by our students’ short term and long term successes. Statement of Purpose Hands On Therapy strives to ensure that each student receives the highest quality basic and continuing education in Massage Therapy and Esthetic Care as well as the Holistic Arts and Sciences  thereby pro-viding a basis by which students can build a long  lasting and rewarding career.   Each student will be offered the knowledge and training necessary to be qualified for state licensure testing as a Licensed Massage Therapist or Esthetician and to fully perform basic services at any practice  establishment  or spa.,,
225247,Hardin-Simmons University,00357100  ,Hardin-Simmons University,2200 Hickory,Abilene,79698-0001,https://www.hsutx.edu/,,www.hsutx.edu/about-hsu/,
225371,Hill College,00357300  ,Hill College,112 Lamar Dr,Hillsboro,76645,https://www.hillcollege.edu/,,https://www.hillcollege.edu/about/index.html,
225399,Houston Baptist University,00357600  ,Houston Baptist University,7502 Fondren Rd,Houston,77074-3298,https://www.hbu.edu/,The mission of Houston Baptist University is to provide a learning experience that instills in students a passion for academic  spiritual  and professional excellence as a result of our central confession  “Jesus Christ is Lord”.,,
493743,Houston Barber School,04280900  ,Houston Barber School,313 Rankin Road,Houston,77073-4400,www.htxbarberschool.com/,,https://www.htxbarberschool.com/about.html,
225423,Houston Community College,01063300  ,Houston Community College,3100 Main Street,Houston,77002,www.hccs.edu/,Houston Community College is an open-admission  public institution of higher education offering a high-quality  affordable education for academic advancement  workforce training  career development  and lifelong learning to prepare individuals in our diverse communities for life and work in a global and technological society.,,
246345,Houston Graduate School of Theology,02320200  ,Houston Graduate School of Theology,4300-C West Bellfort,Houston,77035-3602,www.hgst.edu/,,https://www.hgst.edu/about,
458034,Houston International College Cardiotech Ultrasound School,04138500  ,Houston International College Cardiotech Ultrasound School,12135 Bissonnet Ste E,Houston,77099,www.cardiotech.org/,,https://www.cardiotech.org,
492157,Houston School of Carpentry,04277900  ,Houston School of Carpentry,3522 Polk St,Houston,77003,housoc.org/,,www.housoc.com,
380067,Houston Training School-Main Campus,02527500  ,Houston Training School-Main Campus,10314 I-10 East Fwy,Houston,77029,houstontrainingschools.net/,,houstontrainingschools.net,
484996,Houston Training Schools-Gessner,02527505  ,Houston Training Schools-Gessner,3722 South Gessner,Houston,77063-0000,houstontrainingschools.net/,,training@houstontrainingschools.net,
225520,Howard College,00357400  ,Howard College,1001 Birdwell Lane,Big Spring,79720,https://www.howardcollege.edu/,,howardcollege.edu/home/about/vision-mission/,
225548,Howard Payne University,00357500  ,Howard Payne University,1000 Fisk St.,Brownwood,76801-2794,www.hputx.edu/,,https://ww2.hputx.edu/OUR-STORY/,
225575,Huston-Tillotson University,00357700  ,Huston-Tillotson University,900 Chicon St,Austin,78702-2795,www.htu.edu/,,htu.edu/about,
496751,Institute of Allied Healthcare,04296000  ,Institute of Allied Healthcare,7434 Louis Pasteur Drive,San Antonio,78229-4538,https://www.alliedhealthedu.com/,,https://alliedhealthedu.com/about-us,
443696,Interactive College of Technology,02331304  ,Interactive College of Technology,16801 Greenspoint Park Drive Suite 150,Houston,77060-2303,www.ict.edu/north-houston-college/,,https://www.ict.edu/about/mission-statement/,
440776,Interactive College of Technology,02331300  ,Interactive College of Technology,213 W Southmore St    Suite 101,Pasadena,77502,www.ict.edu/pasadena-colleges-in-pasadena-tx/,,https://www.ict.edu/about/mission-statement/,
367361,Interactive College of Technology,02331301  ,Interactive College of Technology,2950 S. Gessner,Houston,77063,www.ict.edu/,,https://www.ict.edu/about/mission-statement/,
431284,International Beauty College,01248800  ,International Beauty College,1225 Beltline Rd Ste 7,Garland,75040-3294,www.ibc3.edu/,The principal objective of the school is to seek a high level of perfection and distinction in its faculty  students  and educational programs.  Only through quality in higher education will we be able to provide graduates of all courses who will not only be successful but will also be of service to their community.  The course of study and the activities are directed to provide a solid foundation for our graduates in the many opportunities available in the beauty industry.  We realize our obligation to our students  alumni and community and constantly seek more effective ways to meet these commitments.,,
225876,Jacksonville College-Main Campus,00357900  ,Jacksonville College-Main Campus,105 B J Albritton Dr,Jacksonville,75766-4759,www.jacksonville-college.edu/,,https://docs.google.com/document/d/e/2pacx-1vtqjnry6p-zot_zr8bxdkfsmfe8hedkbse1_leaycfjzfdihjsid2dpfa-1wizgztk_ypdizdponv2l/pub#h.3dy6vkm,
225885,Jarvis Christian University,00363700  ,Jarvis Christian University,PR 7631  Hwy 80 E,Hawkins,75765-1470,www.jarvis.edu/,“Jarvis Christian College is a historically Black liberal arts  four-year institution affiliated with the Christian Church (Disciples of Christ). The mission of the College is to prepare a diverse population of lifelong learners intellectually  socially  spiritually  and personally through providing interactive services and using varied modalities of instructional delivery”.,,
443146,Jay's Technical Institute,03680300  ,Jay's Technical Institute,11910 Fondren Meadow,Houston,77071,jtisite.wix.com/jaysbarberandbeauty,,jtisite.wix.com/jaysbarberandbeauty,
485810,K & G 5 Star Barber College,04236900  ,K & G 5 Star Barber College,409 Crimson Coast Dr,League City,77573,www.kandgbarbercollege.com/,,https://kandgbarbercollege.com/about/,
225991,KD Conservatory College of Film and Dramatic Arts,02318200  ,KD Conservatory College of Film and Dramatic Arts,2600 Stemmons Fwy Ste 117,Dallas,75207,www.kdstudio.com/,KD Conservatory believes that each student possesses  unique qualities and that by employing their individual  strengths  students have the opportunity to develop the  skills that will enable them to realize their full potential in the entertainment field.    KD Conservatory provides a creative atmosphere in which   students with diverse backgrounds and skill levels can   experience a variety of techniques and styles to enrich   their skills through practice and discovery.,,
226019,Kilgore College,00358000  ,Kilgore College,1100 Broadway,Kilgore,75662-3299,https://www.kilgore.edu/,,https://www.kilgore.edu/about/institutional-information/mission-statement,
441760,Lamar Institute of Technology,03627300  ,Lamar Institute of Technology,855 E Lavaca,Beaumont,77705,https://www.lit.edu/,,lit.edu/about/missionstatement.aspx,
226107,Lamar State College-Orange,02358200  ,Lamar State College-Orange,410 Front St,Orange,77630,www.lsco.edu/,,www.lsco.edu/mission/mission.asp,
226116,Lamar State College-Port Arthur,02348500  ,Lamar State College-Port Arthur,1500 Proctor St,Port Arthur,77640,www.lamarpa.edu/,,www.lamarpa.edu/about-lscpa/mission,
226091,Lamar University,00358100  ,Lamar University,4400 MLK Blvd,Beaumont,77705,www.lamar.edu/,,www.lamar.edu/about-lu/mission-and-accreditation/index.html,
456214,Lamson Institute,02128302  ,Lamson Institute,5819 NW Loop 410-Ste 160,San Antonio,78238,https://lamson.edu/,Lamson Institute prepares students for career-focused employment by delivering relevant career training.,,
226125,Laredo Beauty College Inc,01229700  ,Laredo Beauty College Inc,3020 N Meadow Ave,Laredo,78040,www.laredobeautycollege.net/,Laredo Beauty College seeks a high level of perfection and distinction in its faculty  its students and its educational programs as it is aware that only through quality education will it be able to provide cosmetologists and instructors who will not only be successful  but will also be of service to their communities.  The courses of study and the activities are directed to provide a solid foundation for its graduates in the many opportunities available in the beauty industry.  Laredo Beauty College also recognizes its obligations to its students  its alumni  and its community  and constantly seeks more effective ways to meet these commitments.,,
486503,Laredo CHI Academy Beauty School,04238200  ,Laredo CHI Academy Beauty School,1710 Peaceful Meadow Court,Laredo,78041-6540,www.laredochi.com/,It is the mission of Laredo CHI Academy Beauty School to provide a quality education  inclusive of business skills  customer service  retailing and communications  that prepares the graduate for licensure and job entry-level success.    Our educational objectives:    1. To produce graduates who are successful and who remain in careers in cosmetology arts and sciences and/or related fields.    2. To constantly update our programs so graduates can remain competitive in their chosen field.    3. To promote the continuing educational growth of the faculty  using current teaching methods and techniques.    4. To prepare the student to successfully pass the state exams.,,
226134,Laredo College,00358200  ,Laredo College,West End Washington St,Laredo,78040-4395,www.laredo.edu/,MISSION  Laredo College is a learner-centered institution transforming students’ lives through educational programs and services to fulfill the dynamic needs of its local  regional  national  and global community.,,
226204,Lee College,00358300  ,Lee College,511 S Whiting,Baytown,77520,www.lee.edu/,,www.lee.edu/about/mission/,
226231,LeTourneau University,00358400  ,LeTourneau University,2100 S Mobberly Ave,Longview,75602,www.letu.edu/,,https://www.letu.edu/about/vision-mission-values.html,
226277,Lincoln College of Technology-Grand Prairie,00793804  ,Lincoln College of Technology-Grand Prairie,2915 Alouette Drive,Grand Prairie,75052,www.lincolntech.edu/campus/grand-prairie-tx,,https://www.lincolntech.edu/about/our-promise,
227182,Lone Star College System,01114500  ,Lone Star College System,5000 Research Forest Drive,The Woodlands,77381-4399,www.lonestar.edu/,,www.lonestar.edu/about-lsc.htm,
226383,Lubbock Christian University,00358600  ,Lubbock Christian University,5601 19th Street,Lubbock,79407-2099,https://www.lcu.edu/,,https://lcu.edu/about-us/heritage-and-values,
481003,M T Training Center,04226400  ,M T Training Center,1801 S. Great Southwest Parkway,Grand Prairie,75051,mttrainingcenter.org/,The MT Training Center is committed to assisting students with little or no background in their chosen field and providing the requisite training necessary for them to achieve  at a minimum  an entry-level position in their profession. At the same time  we strive to refine the skills of students who posses a more advanced knowledge allowing those individuals to advance and excel in their preferred career.,,
490674,Manuel and Theresa's School of Hair Design,04125502  ,Manuel and Theresa's School of Hair Design,1315 Highway 105 #102,Brenham,77833-3033,www.manuelandtheresasschoolofhair.com/,Manuel and Theresa's goal is to provide each student with the education needed to fulfill a profitable and successful career. The school will strive to promote the best learning environment by using the best equipment  literature and speakers. In order to fulfill this objective  Manuel & Theresa's School of Hair Design teaches the technique of art and science of cosmetology  poise  charm  self-reliance  and business practices as we prepare students for the State Board of Cosmetology examinations. We are committed to the following: Enrolling students in an effective and rewarding cosmetology art and science program; Educating  retaining  and graduating students by providing high quality professional training in the field of cosmetology art and sciences; and ultimately placing students in a successful cosmetology art and science related field.,,
451547,Manuel and Theresa's School of Hair Design-Bryan,04125500  ,Manuel and Theresa's School of Hair Design-Bryan,715 s texas ave,Bryan,77803,www.manuelandtheresasschoolofhair.com/,Manuel and Theresa's goal is to provide each student with the training and the education needed to fulfill a profitable and successful career. The school will strive to promote the best learning environment by using the best equipment  literature and speakers. In order to fulfill this objective  Manuel & Theresa's School of Hair Design teaches the technique of art and science of cosmetology  poise  charm  self-reliance  and business practices as we prepare students for the State Board of Cosmetology examinations. We are committed to the following: Enrolling students in an effective and rewarding cosmetology art and science program; Educating  retaining  and graduating students by providing high quality professional training in the field of cosmetology art and sciences; and ultimately placing students in a successful cosmetology art and science related field.,,
470296,Manuel and Theresa's School of Hair Design-Victoria,04125501  ,Manuel and Theresa's School of Hair Design-Victoria,1405 East North,Victoria,77902-7076,www.manuelandtheresasschoolofhair.com/,Manuel and Theresa's goal is to provide each student with the training and the education needed to fulfill a profitable and successful career. The school will strive to promote the best learning environment by using the best equipment  literature and speakers. In order to fulfill this objective  Manuel & Theresa's School of Hair Design teaches the technique of art and science of cosmetology  poise  charm  self-reliance  and business practices as we prepare students for the State Board of Cosmetology examinations. we are committed to the following: Enrolling students in an effective and rewarding cosmetology art and science program; Educating  retaining  and graduating students by providing high quality professional training in the field of cosmetology art and sciences; and ultimately placing students in a successful cosmetology art and science related field.,,
493549,MCI,04270700  ,MCI,304 South Colonel Rowe Boulevard,McAllen,78501-2702,www.mcallencareersinstitute.com/,McAllen Careers Institute has a two-fold goal regarding our educational and career development programs; which includes increasing personal competitiveness in the labor market while developing the skills and credential in individuals to become more effective in their daily performance.,,
226578,McLennan Community College,00359000  ,McLennan Community College,1400 College Dr,Waco,76708,www.mclennan.edu/,,www.mclennan.edu/about/mission.html,
226587,McMurry University,00359100  ,McMurry University,S 14th and Sayles Blvd,Abilene,79697,https://mcm.edu/,,https://about.mcm.edu/mission-core-values/index.html,
455336,MediaTech Institute-Dallas,04129800  ,MediaTech Institute-Dallas,13300 Branch View Lane,Dallas,75234,https://www.mediatech.edu/,,https://mediatech.edu/our-story/,
456153,MediaTech Institute-Houston,04129802  ,MediaTech Institute-Houston,3324 Walnut Bend Ln,Houston,77042,https://www.mediatech.edu/,,mediatech.edu/our-story,
497204,Mei Barber School,04296200  ,Mei Barber School,205 East Elizabeth Street,Brownsville,78520-5472,https://www.meibarberschool.com/,The mission of Mei Barber School is to provide professional training to our students in order for them to successfully pass their TDLR State Board exam and prepare them for employment.,,
417752,Messenger College,03092600  ,Messenger College,2701 Brown Trail  Suite 408,Bedford,76021,www.messengercollege.edu/,,www.messengercollege.edu/aboutmc,
224776,Miami International University of Art & Design-Art Institute Dallas,00887807  ,Miami International University of Art & Design-Art Institute Dallas,8080 Park Lane  Suite 100,Dallas,75231-5993,www.artinstitutes.edu/dallas/,Miami International University of Art & Design is a multi-campus  career-oriented institution that provides students with academic preparation and practical skills through programs in the applied arts and design industries. The institution prepares its undergraduate students for entry-level positions and its graduate students for advancement in their chosen fields. The University is dedicated to fostering a culture that encourages creativity  research  and learning-centered endeavors.,,
494728,Michael's Barber & Hair Stylist Academy,04287300  ,Michael's Barber & Hair Stylist Academy,2413 West Airport Freeway,Irving,75062-6016,barberstylistacademy.com/,,michaelsbarberacademy.com,
423412,Mid Cities Barber College,03111000  ,Mid Cities Barber College,2345 Southwest 3rd Street  Suite101,Grand Prairie,75051-4892,midcitiesbarbercollege.com/,Our Mission at Mid Cities Barber College is to provide a complete training program that allows the students to obtain the necessary skills and successfully pass the Texas licensure examination to practice the profession as a Barber Stylist (which includes students from the Cosmetology Operator to Class A Registered Barber program)  or Barber Instructor. We believe through our program that our students will be completely prepared and accomplished leaders within the Community and Barbering Industry.,,
226806,Midland College,00979700  ,Midland College,3600 N Garfield,Midland,79705,www.midland.edu/,,www.midland.edu/about/guidance-vision/mission-statement.php,
226833,Midwestern State University,00359200  ,Midwestern State University,3410 Taft Blvd,Wichita Falls,76308-2099,www.msutexas.edu/,,msutexas.edu/welcome/president/mission-statement.php,
460534,Milan Institute of Cosmetology-El Paso,02248211  ,Milan Institute of Cosmetology-El Paso,1580 George Dieter Dr.  Ste 207,El Paso,79936,www.milaninstitute.edu/,The mission of Milan Institute is to meet the needs of students and employers by offering quality  short term educational programs in career fields with solid growth potential.,,
449904,Milan Institute of Cosmetology-San Antonio Military,02248204  ,Milan Institute of Cosmetology-San Antonio Military,605 SW Military Drive,San Antonio,78221,www.milaninstitute.edu/,The mission of Milan Institute is to meet the needs of students and employers by offering quality  short term educational programs in career fields with solid growth potential.,,
440855,Milan Institute-Amarillo,03098702  ,Milan Institute-Amarillo,7001 I-40 West,Amarillo,79106,www.milaninstitute.edu/,The mission of Milan Institute is to meet the needs of students and employers by offering quality  short term educational programs in career fields with solid growth potential.,,
437778,Milan Institute-San Antonio Ingram,03422300  ,Milan Institute-San Antonio Ingram,6804 Ingram Road,San Antonio,78238,www.milaninstitute.edu/,The mission of Milan Institute is to meet the needs of students and employers by offering quality  short term educational programs in career fields with solid growth potential.,,
491394,Miller-Motte College-Edge Tech Academy,02306812  ,Miller-Motte College-Edge Tech Academy,2241 S Watson Rd #181,Arlington,76010,https://edgetechacademy.edu/,We inspire and motivate students to empower themselves through training and education.,,
456931,Miller-Motte College-STVT-Corpus Christi,02306810  ,Miller-Motte College-STVT-Corpus Christi,2000 South Padre Island Dr,Corpus Christi,78416,https://www.stvt.edu/,We inspire and motivate students to empower themselves through training and education.,,
228219,Miller-Motte College-STVT-McAllen,02306809  ,Miller-Motte College-STVT-McAllen,1800 South Main  Suite 500,McAllen,78503,https://www.stvt.edu/,We inspire and motivate students to empower themselves through training and education.,,
460172,Miller-Motte College-STVT-San Antonio,02306808  ,Miller-Motte College-STVT-San Antonio,734 SE Military,San Antonio,78216,https://www.stvt.edu/,We inspire and motivate students to empower themselves through training and education.,,
488299,Mission Beauty Institute,04250800  ,Mission Beauty Institute,1123 East 9th Street,Mission,78572-4404,www.missionbeautyinstitute.com/,Mission Beauty Institute's goal is to provide high-quality education that prepares its graduates for a successful future in the chosen field of Cosmetology Operator  Manicure  Esthetician or Instructor.,,
493655,Montana Barber Institute,04278400  ,Montana Barber Institute,1920 N Zaragoza Rd. Suite 101 - 103,El Paso,79938-4655,www.montanabarberinstitute.com/,,www.montanabarberinstitute.com/about-us,
491589,Mystros Barber Academy,04260900  ,Mystros Barber Academy,1434 Ste. B Cypress Creek Parkway,Houston,77090-3300,https://mystrosbarberacademy.org/,The mission of Mystros Barber Academy is to create outstanding career schools producing the best licensed graduates  in the field of barbering. The ultimate mission is to ensure that its graduates are prepared successfully to enter the job market and succeed.,,
482325,National American University-Georgetown,00405729  ,National American University-Georgetown,1015 W. University Avenue  Suite 700,Georgetown,78628-5355, ,,,
488110,Natural Images Beauty College,04245800  ,Natural Images Beauty College,236 Old Angleton Road,Clute,77531-3603,natural-images-bc.com/,To provide quality education that prepares the graduate to have the practical skills necessary for licensure and success as an entry level professional in their field of choice  including business skills  customer service  retailing and communication skills.,,
227146,Navarro College,00359300  ,Navarro College,3200 W 7th Avenue,Corsicana,75110,www.navarrocollege.edu/,,www.navarrocollege.edu/about/mission.html,
483513,Neecee's Barber College,04231200  ,Neecee's Barber College,1813 Industrial Blvd,Abilene,79602,neeceescollege.com/,The school provides career preparation in Barber/Cosmetology arts and sciences  trains/prepares students for the state Licensing examination  and facilitates licensed graduates in successfully obtaining employment in the Barber or Cosmetology field.,,
461795,North American University,04179500  ,North American University,11929 West Airport Blvd.,Stafford,77477-0000,www.na.edu/,North American University (NAU) is a private and non-profit institution offering bachelor’s and master’s degrees. The university is committed to teaching excellence and student centeredness. NAU strives to provide an environment promoting global cultural competency  personal growth and responsible citizenship.,,
224110,North Central Texas College,00355800  ,North Central Texas College,1525 W California Street,Gainesville,76240-4699,www.nctc.edu/,,www.nctc.edu/catalog/general-information/mission.html,
488730,Northeast Lakeview College,04263600  ,Northeast Lakeview College,1201 Kitty Hawk Rd,Universal City,78145,www.alamo.edu/nlc,,www.alamo.edu/nlc/about-nlc/strategic_planning/mission-statement/,
227225,Northeast Texas Community College,02315400  ,Northeast Texas Community College,2886 FM 1735,Mount Pleasant,75455,www.ntcc.edu/,,https://www.ntcc.edu/2025,
369686,Northwest Educational Center,03303300  ,Northwest Educational Center,2910 Antoine B-100,Houston,77092,nwec.edu/,,www.nwec.edu/about-us,
420398,Northwest Vista College,03372300  ,Northwest Vista College,3535 N. Ellison Drive,San Antonio,78251,alamo.edu/nvc/,,www.alamo.edu/nvc/about-us/our-college/mission/,
377272,Nuvani Institute,03009400  ,Nuvani Institute,2402 San Pedro Ave.,San Antonio,78212-1901,www.nuvani.edu/,,nuvani.edu/beauty-school-san-antonio-san-pedro-tx.php,
377281,Nuvani Institute,03021500  ,Nuvani Institute,272 Commerical St,Eagle Pass,78852-4859,www.nuvani.edu/,,nuvani.edu/beauty-school-eagle-pass-tx.php,
227289,Oblate School of Theology,00359500  ,Oblate School of Theology,285 Oblate Dr,San Antonio,78216-6693,www.ost.edu/,,https://ost.edu/about/,
227298,Ocean Corporation,02600200  ,Ocean Corporation,10840 Rockley Rd,Houston,77099,www.oceancorp.com/,The Ocean Corporation trains students to be competent employees for the industry of their choice.  Graduates will possess the knowledge and skills necessary to obtain entry-level employment in the industry for which they were trained.,,
227304,Odessa College,00359600  ,Odessa College,201 W University Blvd,Odessa,79764,www.odessa.edu/,,www.odessa.edu/future-students/about/mission-of-excellence/index.html,
227313,Ogle School Hair Skin Nails-Arlington,01301600  ,Ogle School Hair Skin Nails-Arlington,2200 Park Row,Arlington,76013,ogleschool.edu/,Ogle School prepares committed students for rewarding careers in the beauty industry through salon-modeled  student-centered training and development of the highest caliber.,,
381404,Ogle School Hair Skin Nails-Dallas,02230501  ,Ogle School Hair Skin Nails-Dallas,6333 East Mockingbird Lane  Suite 201,Dallas,75214-2389,www.ogleschool.edu/,Ogle School prepares committed students for rewarding careers in the beauty industry through salon-modeled  student-centered training and development of the highest caliber.,,
478591,Ogle School Hair Skin Nails-Denton,01301602  ,Ogle School Hair Skin Nails-Denton,2324 San Jacinto Boulevard,Denton,76205-7534,www.ogleschool.edu/,Ogle School prepares committed students for a rewarding career in the beauty industry through a salon-modeled  student-centered training and development of the highest caliber.,,
227322,Ogle School Hair Skin Nails-Ft Worth,02230500  ,Ogle School Hair Skin Nails-Ft Worth,6125 Southwest Loop 820  Suite 128,Fort Worth,76132-3638,www.ogleschool.edu/,Ogle School prepares committed students for rewarding careers in the beauty industry through salon-modeled  student-centered training and development of the highest caliber.,,
248703,Ogle School Hair Skin Nails-Hurst,02230600  ,Ogle School Hair Skin Nails-Hurst,720-B Arcadia Street,Hurst,76053-4650,www.ogleschool.edu/,Ogle School prepares committed students for rewarding careers in the beauty industry through salon -modeled  student-centered training and development of the highest caliber.,,
460978,Ogle School Hair Skin Nails-North Dallas,02230502  ,Ogle School Hair Skin Nails-North Dallas,17174 Preston Road,Dallas,75248-1216,www.ogleschool.edu/,Ogle School prepares committed students for rewarding careers in the beauty industry through salon-modeled  student-centered training and development of the highest caliber.,,
480125,Ogle School Hair Skin Nails-San Antonio,01301601  ,Ogle School Hair Skin Nails-San Antonio,742 N. Loop 410 Ste 226,San Antonio,78216,www.ogleschool.edu/,Ogle School prepares committed students for a rewarding career in the beauty industry through a salon-modeled  student centered training and development of the highest caliber.,,
484604,Ogle School Hair Skin Nails-Stafford,02230601  ,Ogle School Hair Skin Nails-Stafford,12788 Fountain Lake Circle,Stafford,77477,ogleschool.edu/,Ogle School prepares committed students for a rewarding career in the beauty industry through a salon-modeled  student centered training and development of the highest caliber.,,
497073,Ogle School Hair Skin Nails-Willowbrook,02230602  ,Ogle School Hair Skin Nails-Willowbrook,12974-A Willow Chase Drive,Houston,77070-5656,https://ogleschool.edu/,Ogle School prepares committed students for rewarding careers in the beauty industry through salon-modeled  student-centered  training and development of the highest caliber.,,
227331,Our Lady of the Lake University,00359800  ,Our Lady of the Lake University,411 SW 24th St.,San Antonio,78207-4689,https://www.ollusa.edu/,,https://www.ollusa.edu/about/mission-vision-values.html,
246354,Palo Alto College,02341300  ,Palo Alto College,1400 W Villaret Blvd,San Antonio,78224-2499,alamo.edu/pac/,,www.alamo.edu/pac/about-pac/strategic-plan/,
227386,Panola College,00360000  ,Panola College,1109 W Panola Street,Carthage,75633-2397,www.panola.edu/,Panola College is dedicated to providing excellence in education. The range of educational offerings includes university transfer programs  workforce programs  instruction designed to increase academic proficiencies  and continuing education to enrich lives and improve skills. Our aim is to engage students to achieve success.,,
227401,Paris Junior College,00360100  ,Paris Junior College,2400 Clarksville St,Paris,75460,www.parisjc.edu/,,www.parisjc.edu/pjc2/main/mission/,
243823,Parker University,02305300  ,Parker University,2540 Walnut Hill Lane,Dallas,75229-5668,www.parker.edu/,,parker.edu/mission-and-purpose/,
434283,Pathway Vocational Academy,03277300  ,Pathway Vocational Academy,3141 College  Suite A10,Beaumont,77701-4650,https://www.lufkinhairdesign.com/,,www.pathwayvocational.com,
475486,Paul Mitchell the School-Arlington,01248302  ,Paul Mitchell the School-Arlington,309 Curtis Mathes Way  #101,Arlington,76018-6032,paulmitchell.edu/arlington,At Paul Mitchell The School Arlington  our mission is to provide a quality educational system to prepare students to pass the state board examination and gain employment within their chosen field of study. We promote and recognize the principles of fairness  equity  inclusion  anti-racism  and social justice. Our culture is about celebrating diversity  bringing out the best in people and situations  changing lives  making a difference  giving back  healing the planet  and healing ourselves. We also provide a solid educational foundation to empower our team members in the pursuit of excellence. We strongly believe that when people come first  success will follow.,,
451565,Paul Mitchell the School-Austin,04125400  ,Paul Mitchell the School-Austin,9503 Research Blvd Building 3 Suite 310,Austin,78759,https://paulmitchell.edu/austin,At Paul Mitchell The School Austin  our mission is to provide a quality educational system to prepare students to pass the state board examination and gain employment within their chosen field of study. We promote and recognize the principles of fairness  equity  inclusion  anti-racism  and social justice. Our culture is about celebrating diversity  bringing out the best in people and situations  changing lives  making a difference  giving back  healing the planet  and healing ourselves. We also provide a solid educational foundation to empower our team members in the pursuit of excellence. We strongly believe that when people come first  success will follow.,,
488989,Paul Mitchell the School-Clear Lake,02357701  ,Paul Mitchell the School-Clear Lake,20807 Gulf Fwy,Webster,77598-0000,paulmitchell.edu/clearlake,At Paul Mitchell The School Clear Lake  our mission is to provide a quality educational system to prepare students to pass the state board examination and gain employment within their chosen field of study. We promote and recognize the principles of fairness  equity  inclusion  anti-racism  and social justice. Our culture is about celebrating diversity  bringing out the best in people and situations  changing lives  making a difference  giving back  healing the planet  and healing ourselves. We also provide a solid educational foundation to empower our team members in the pursuit of excellence. We strongly believe that when people come first  success will follow.,,
